transaction_id;date;produit;quantite;prix_unitaire;client_id;ville;region;canal_vente;mode_paiement;statut;montant_total
TXN000116;10/01/2023 14:00;Manioc;90;258;CLI0149;Tône;Savanes;Grossiste;Espèces;Livrée;23220
TXN000117;10/01/2023 16:00;Igname;12;970;CLI0447;Kara;Kara;Grossiste;Espèces;Livrée;11640
TXN000118;10/01/2023 18:00;Manioc;8;588;CLI0174;Tchamba;Centrale;Coopérative;Chèque;Livrée;4704
TXN000119;10/01/2023 20:00;Riz;74;538;CLI0311;Kara;Kara;Grossiste;Espèces;En cours;39812
TXN000120;10/01/2023 22:00;Manioc;16;956;CLI0062;Tchamba;Centrale;Grossiste;Crédit;Livrée;15296
TXN000121;11/01/2023 00:00;Maïs;52;795;CLI0167;Tône;Savanes;Grossiste;Chèque;Annulée;41340
TXN000122;11/01/2023 02:00;Arachide;26;635;CLI0103;Lomé;Maritime;Coopérative;Virement;Livrée;16510
TXN000123;11/01/2023 04:00;Igname;8;1673;CLI0028;Atakpamé;Plateaux;Marché local;Mobile Money;En cours;13384
TXN000124;11/01/2023 06:00;Sorgho;45;576;CLI0125_DUP;Cinkassé;Savanes;Grossiste;Mobile Money;Livrée;25920
TXN000125;11/01/2023 08:00;Haricot;93;2182;CLI0134;Kpalimé;Plateaux;Export;Virement;Livrée;202926
TXN000126;11/01/2023 10:00;Riz;84;313;CLI0059;Bassar;Centrale;Grossiste;Virement;Annulée;26292
TXN000127;11/01/2023 12:00;Igname;81;973;CLI0090;Kpalimé;Plateaux;Grossiste;Crédit;Livrée;78813
TXN000128;11/01/2023 14:00;Arachide;19;2126;CLI0070;Atakpamé;Plateaux;Export;Chèque;Livrée;40394
TXN000129;11/01/2023 16:00;Soja;17;2419;CLI0185;Tchamba;Centrale;Coopérative;Espèces;Livrée;41123
TXN000130;11/01/2023 18:00;Igname;65;217;CLI0438;Dapaong;Savanes;Vente directe;Mobile Money;Livrée;14105
TXN000131;11/01/2023 20:00;Maïs;29;434;CLI0474;Tône;Savanes;Export;Virement;En cours;12586
TXN000132;11/01/2023 22:00;Sorgho;14;1533;CLI0168;Bassar;Centrale;Vente directe;Chèque;Livrée;21462
TXN000133;12/01/2023 00:00;Maïs;17;1892;CLI0124;Kara;Kara;Marché local;Espèces;Annulée;32164
TXN000134;12/01/2023 02:00;Igname;13;480;CLI0213;Tône;Savanes;Marché local;Mobile Money;Livrée;6240
TXN000135;12/01/2023 04:00;Maïs;93;1030;CLI0182;Cinkassé;Savanes;Grossiste;Chèque;Livrée;95790
TXN000136;12/01/2023 06:00;Soja;98;1338;CLI0071;Kpalimé;Plateaux;Grossiste;Mobile Money;Livrée;131124
TXN000137;12/01/2023 08:00;Sorgho;91;1895;CLI0195;Aného;Maritime;Coopérative;Crédit;En cours;172445
TXN000138;12/01/2023 10:00;Haricot;63;1890;CLI0292;Bassar;Centrale;Vente directe;Mobile Money;En cours;119070
TXN000139;12/01/2023 12:00;Maïs;33;1786;CLI0057;Cinkassé;Savanes;Marché local;Crédit;Livrée;58938
TXN000140;12/01/2023 14:00;Soja;29;617;CLI0300;Tône;Savanes;Marché local;Crédit;Livrée;17893
TXN000141;12/01/2023 16:00;Riz;37;784;CLI0318;Dapaong;Savanes;Grossiste;Crédit;Livrée;29008
TXN000142;12/01/2023 18:00;Soja;83;1551;CLI0371;Lomé;Maritime;Grossiste;Espèces;Livrée;128733
TXN000143;12/01/2023 20:00;Manioc;46;1564;CLI0083;Cinkassé;Savanes;Coopérative;Espèces;Livrée;71944
TXN000144;12/01/2023 22:00;Igname;24;2468;CLI0094;Kara;Kara;Grossiste;Crédit;Annulée;59232
TXN000145;13/01/2023 00:00;Arachide;14;2256;CLI0267;Tône;Savanes;Grossiste;Chèque;Livrée;31584
TXN000146;13/01/2023 02:00;Igname;5;2132;CLI0376;Kara;Kara;Coopérative;Crédit;Livrée;10660
TXN000147;13/01/2023 04:00;Igname;53;1031;CLI0161;Niamtougou;Kara;Grossiste;Chèque;Livrée;54643
TXN000148;13/01/2023 06:00;Soja;88;733;CLI0074_DUP;Atakpamé;Plateaux;Grossiste;Mobile Money;Livrée;64504
TXN000149;13/01/2023 08:00;Soja;98;1322;CLI0377;Tône;Savanes;Grossiste;Espèces;En cours;129556
TXN000150;13/01/2023 10:00;Soja;95;1905;CLI0112;Dapaong;Savanes;Vente directe;Chèque;Livrée;180975
TXN000151;13/01/2023 12:00;Igname;30;1605;CLI0279;Cinkassé;Savanes;Marché local;Chèque;Livrée;48150
TXN000152;13/01/2023 14:00;Haricot;60;2086;CLI0433;Lomé;Maritime;Export;Chèque;Livrée;125160
TXN000153;13/01/2023 16:00;Maïs;73;646;CLI0242;Kpalimé;Plateaux;Marché local;Virement;En cours;47158
TXN000154;13/01/2023 18:00;Haricot;91;824;CLI0222;Kara;Kara;Vente directe;Espèces;Annulée;74984
TXN000155;13/01/2023 20:00;Sorgho;28;2063;CLI0286;Kara;Kara;Export;Virement;Livrée;57764
TXN000156;13/01/2023 22:00;Soja;26;2395;CLI0004;Niamtougou;Kara;Marché local;Mobile Money;En cours;62270
TXN000157;14/01/2023 00:00;Soja;18;931;CLI0320;Cinkassé;Savanes;Coopérative;Chèque;Livrée;16758
TXN000158;14/01/2023 02:00;Manioc;36;1137;CLI0321;Lomé;Maritime;Vente directe;Espèces;Livrée;40932
TXN000159;14/01/2023 04:00;Manioc;8;2280;CLI0008;Tchamba;Centrale;Coopérative;Espèces;Livrée;18240
TXN000160;14/01/2023 06:00;Riz;18;1955;CLI0052;Tchamba;Centrale;Coopérative;Espèces;En cours;35190
TXN000161;14/01/2023 08:00;Riz;84;1724;CLI0142;Bassar;Centrale;Marché local;Chèque;En cours;144816
TXN000162;14/01/2023 10:00;Manioc;58;1920;CLI0280;Dapaong;Savanes;Export;Crédit;Livrée;111360
TXN000163;14/01/2023 12:00;Sorgho;32;1416;CLI0088;Cinkassé;Savanes;Grossiste;Crédit;Livrée;45312
TXN000164;14/01/2023 14:00;Riz;93;1403;CLI0160;Niamtougou;Kara;Grossiste;Crédit;Livrée;130479
TXN000165;14/01/2023 16:00;Arachide;49;2090;CLI0028;Dapaong;Savanes;Vente directe;Virement;En cours;102410
TXN000166;14/01/2023 18:00;Arachide;48;1741;CLI0272;Kara;Kara;Coopérative;Chèque;En cours;83568
TXN000167;14/01/2023 20:00;Sorgho;82;590;CLI0100;Tône;Savanes;Vente directe;Mobile Money;En cours;48380
TXN000168;14/01/2023 22:00;Manioc;71;298;CLI0204;Tchamba;Centrale;Marché local;Virement;Livrée;21158
TXN000169;15/01/2023 00:00;Riz;65;2395;CLI0190;Tône;Savanes;Coopérative;Espèces;Livrée;155675
TXN000170;15/01/2023 02:00;Soja;92;769;CLI0294;Sokodé;Centrale;Grossiste;Crédit;Livrée;70748
TXN000171;15/01/2023 04:00;Manioc;33;926;CLI0344;Niamtougou;Kara;Marché local;Espèces;Livrée;30558
TXN000172;15/01/2023 06:00;Riz;50;1201;CLI0053;Tône;Savanes;Marché local;Virement;Livrée;60050
TXN000173;15/01/2023 08:00;Sorgho;4;1770;CLI0047;Kara;Kara;Vente directe;Crédit;Livrée;7080
TXN000174;15/01/2023 10:00;Arachide;84;502;CLI0422;Bassar;Centrale;Vente directe;Chèque;En cours;42168
TXN000175;15/01/2023 12:00;Igname;36;2251;CLI0465;Niamtougou;Kara;Export;Crédit;Livrée;81036
TXN000176;15/01/2023 14:00;Sorgho;95;2354;CLI0429;Lomé;Maritime;Grossiste;Crédit;En cours;223630
TXN000177;15/01/2023 16:00;Igname;28;2322;CLI0397;Niamtougou;Kara;Grossiste;Crédit;En cours;65016
TXN000178;15/01/2023 18:00;Riz;3;1263;CLI0194;Tône;Savanes;Vente directe;Virement;En cours;3789
TXN000179;15/01/2023 20:00;Sorgho;6;838;CLI0066;Dapaong;Savanes;Grossiste;Crédit;Livrée;5028
TXN000180;15/01/2023 22:00;Riz;45;1342;CLI0476;Tône;Savanes;Grossiste;Virement;Livrée;60390
TXN000181;16/01/2023 00:00;Riz;23;2320;CLI0026;Kara;Kara;Marché local;Espèces;Livrée;53360
TXN000182;16/01/2023 02:00;Igname;7;751;CLI0099;Dapaong;Savanes;Coopérative;Chèque;Livrée;5257
TXN000183;16/01/2023 04:00;Sorgho;61;1176;CLI0476;Bassar;Centrale;Coopérative;Crédit;Livrée;71736
TXN000184;16/01/2023 06:00;Maïs;65;295;CLI0082;Kara;Kara;Export;Virement;Annulée;19175
TXN000185;16/01/2023 08:00;Soja;6;1391;CLI0398;Sokodé;Centrale;Coopérative;Crédit;Livrée;8346
TXN000186;16/01/2023 10:00;Manioc;24;245;CLI0393;Atakpamé;Plateaux;Grossiste;Crédit;Livrée;5880
TXN000187;16/01/2023 12:00;Arachide;37;545;CLI0044;Cinkassé;Savanes;Marché local;Crédit;Retardée;20165
TXN000188;16/01/2023 14:00;Soja;45;1046;CLI0478;Dapaong;Savanes;Coopérative;Mobile Money;Livrée;47070
TXN000189;16/01/2023 16:00;Manioc;51;1276;CLI0091;Niamtougou;Kara;Grossiste;Chèque;Annulée;65076
TXN000190;16/01/2023 18:00;Manioc;88;1371;CLI0329;Bassar;Centrale;Grossiste;Chèque;Livrée;120648
TXN000191;16/01/2023 20:00;Arachide;45;1756;CLI0414;Niamtougou;Kara;Vente directe;Virement;Livrée;79020
TXN000192;16/01/2023 22:00;Soja;63;432;CLI0110;Tchamba;Centrale;Vente directe;Espèces;En cours;27216
TXN000193;17/01/2023 00:00;Arachide;29;250;CLI0219;Tône;Savanes;Coopérative;Espèces;Livrée;7250
TXN000194;17/01/2023 02:00;Riz;96;864;CLI0463;Atakpamé;Plateaux;Vente directe;Espèces;Annulée;82944
TXN000195;17/01/2023 04:00;Arachide;25;650;CLI0372_DUP;Atakpamé;Plateaux;Grossiste;Crédit;Livrée;16250
TXN000196;17/01/2023 06:00;Igname;10;1562;CLI0257;Niamtougou;Kara;Grossiste;Virement;Livrée;15620
TXN000197;17/01/2023 08:00;Igname;35;550;CLI0193;Tône;Savanes;Vente directe;Crédit;Retardée;19250
TXN000198;17/01/2023 10:00;Sorgho;55;1508;CLI0070;Kara;Kara;Marché local;Mobile Money;En cours;82940
TXN000199;17/01/2023 12:00;Maïs;25;782;CLI0459;Sokodé;Centrale;Vente directe;Virement;Livrée;19550
TXN000200;17/01/2023 14:00;Maïs;91;444;CLI0382;Dapaong;Savanes;Marché local;Virement;Livrée;40404
TXN000201;17/01/2023 16:00;Maïs;45;29855;CLI0494;Lomé;Maritime;Vente directe;Virement;Livrée;33705
TXN000202;17/01/2023 18:00;Soja;96;18905;CLI0097;Cinkassé;Savanes;Grossiste;Mobile Money;Livrée;88992
TXN000203;17/01/2023 20:00;Igname;12;24078;CLI0224;Aného;Maritime;Grossiste;Virement;Annulée;10056
TXN000204;17/01/2023 22:00;Soja;4;783;CLI0281;Tchamba;Centrale;Vente directe;Mobile Money;Annulée;3132
TXN000205;18/01/2023 00:00;Riz;90;2473;CLI0333;Cinkassé;Savanes;Export;Espèces;En cours;222570
TXN000206;18/01/2023 02:00;Haricot;67;640;CLI0405;Bassar;Centrale;Marché local;Virement;Retardée;42880
TXN000207;18/01/2023 04:00;Maïs;17;1667;CLI0496;Kpalimé;Plateaux;Export;Crédit;Livrée;28339
TXN000208;18/01/2023 06:00;Riz;73;2019;CLI0186;Niamtougou;Kara;Grossiste;Chèque;Livrée;147387
TXN000209;18/01/2023 08:00;Igname;93;611;CLI0038;Atakpamé;Plateaux;Marché local;Mobile Money;Livrée;56823
TXN000210;18/01/2023 10:00;Haricot;65;1013;CLI0488;Niamtougou;Kara;Vente directe;Espèces;En cours;65845
TXN000211;18/01/2023 12:00;Maïs;82;445;CLI0395_DUP;Niamtougou;Kara;Marché local;Espèces;Annulée;36490
TXN000212;18/01/2023 14:00;Soja;53;782;CLI0489;Kpalimé;Plateaux;Marché local;Chèque;Livrée;41446
TXN000213;18/01/2023 16:00;Haricot;84;1930;CLI0057;Tône;Savanes;Coopérative;Virement;En cours;162120
TXN000214;18/01/2023 18:00;Sorgho;57;1181;CLI0195_DUP;Bassar;Centrale;Marché local;Crédit;En cours;67317
TXN000215;18/01/2023 20:00;Sorgho;98;2174;CLI0248;Tône;Savanes;Grossiste;Chèque;Livrée;213052
TXN000216;18/01/2023 22:00;Sorgho;28;749;CLI0104;Aného;Maritime;Export;Virement;Livrée;20972
TXN000217;19/01/2023 00:00;Arachide;99;2364;CLI0060;Lomé;Maritime;Export;Virement;Livrée;234036
TXN000218;19/01/2023 02:00;Sorgho;16;1587;CLI0238;Dapaong;Savanes;Vente directe;Mobile Money;Livrée;25392
TXN000219;19/01/2023 04:00;Manioc;21;2137;CLI0371;Niamtougou;Kara;Coopérative;Crédit;Livrée;44877
TXN000220;19/01/2023 06:00;Maïs;77;403;CLI0026;Lomé;Maritime;Export;Crédit;Livrée;31031
TXN000221;19/01/2023 08:00;Sorgho;99;550;CLI0393;Cinkassé;Savanes;Export;Mobile Money;Annulée;54450
TXN000222;19/01/2023 10:00;Haricot;42;518;CLI0110;Kara;Kara;Marché local;Virement;Livrée;21756
TXN000223;19/01/2023 12:00;Igname;54;1892;CLI0392;Lomé;Maritime;Grossiste;Virement;Retardée;102168
TXN000224;19/01/2023 14:00;Manioc;32;306;CLI0254;Dapaong;Savanes;Grossiste;Crédit;Livrée;9792
TXN000225;19/01/2023 16:00;Manioc;38;2419;CLI0097;Niamtougou;Kara;Vente directe;Crédit;Livrée;91922
TXN000226;19/01/2023 18:00;Manioc;70;2078;CLI0104;Tône;Savanes;Grossiste;Crédit;Livrée;145460
